Data Field,Value,Label
q20CandPrevWorkExp,1,Previous work experience
q20CandPrestigeDegree,1,Prestige of degree
q20CandLinkInSkills,1,LinkedIn skill endorsements
q20CandGithubPersProj2,1,Github or personal projects
q20Other,1,Other (please specify)
q21CoreCompProbSolv,1,Problem Solving
q21CoreCompProgLang,1,Programming Language Proficiency
q21CoreCompFrameworkProf,1,Frameworks Proficiency
q21CoreCompDebugging,1,Debugging
q21CoreCompCodebaseNav,1,Codebase Navigation
q21CoreCompPerfOpt,1,Performance Optimization
q21CoreCompCodeReview,1,Code Review Capability
q21CoreCompDatabaseDesign,1,Database Design
q21CoreCompSysDesign,1,System Design
q21CoreCompTesting,1,Testing
q22LangProfAgnostic,1,Language agnostic
q22LangProfC,1,C
q22LangProfCPlusPlus,1,C++
q22LangProfJava,1,Java
q22LangProfPython,1,Python
q22LangProfRuby,1,Ruby
q22LangProfJavascript,1,Javascript
q22LangProfCSharp,1,C#
q22LangProfGo,1,Go
q22LangProfScala,1,Scala
q22LangProfPerl,1,Perl
q22LangProfSwift,1,Swift
q22LangProfPascal,1,Pascal
q22LangProfClojure,1,Clojure
q22LangProfPHP,1,PHP
q22LangProfHaskell,1,Haskell
q22LangProfLua,1,Lua
q22LangProfR,1,R
q22LangProfOther,1,Other (please specify)
q23FrameAngularJS,1,AngularJS
q23FrameReact,1,React
q23FrameVueDotJS,1,Vue.js
q23FrameEmber,1,Ember
q23FrameBackboneDotJS,1,Backbone.js
q23FrameSpring,1,Spring
q23FrameJSF,1,JSF
q23FrameStruts,1,Struts
q23FrameNodeDotJS,1,Node.js
q23FrameExpressJS,1,ExpressJS
q23FrameMeteor,1,Meteor
q23FrameDjango,1,Django
q23FramePyramid,1,Pyramid
q23FrameRubyonRails,1,Ruby on Rails
q23FramePadrino,1,Padrino
q23FrameASP,1,ASP
q23FrameNetCore,1,.NETCore
q23FrameCocoa,1,Cocoa
q23FrameReactNative,1,React Native
q23FrameRubyMotion,1,RubyMotion
q23FrameOther,1,Other (please specify)
q24VimorEmacs,0,Other (please specify)
q24VimorEmacs,1,Vim
q24VimorEmacs,2,Emacs
q25LangC,0,Missing or Neither
q25LangC,1,Know
q25LangC,2,Will Learn
q25LangCPlusPlus,0,Missing or Neither
q25LangCPlusPlus,1,Know
q25LangCPlusPlus,2,Will Learn
q25LangJava,0,Missing or Neither
q25LangJava,1,Know
q25LangJava,2,Will Learn
q25LangPython,0,Missing or Neither
q25LangPython,1,Know
q25LangPython,2,Will Learn
q25LangRuby,0,Missing or Neither
q25LangRuby,1,Know
q25LangRuby,2,Will Learn
q25LangJavascript,0,Missing or Neither
q25LangJavascript,1,Know
q25LangJavascript,2,Will Learn
q25LangCSharp,0,Missing or Neither
q25LangCSharp,1,Know
q25LangCSharp,2,Will Learn
q25LangGo,0,Missing or Neither
q25LangGo,1,Know
q25LangGo,2,Will Learn
q25Scala,0,Missing or Neither
q25Scala,1,Know
q25Scala,2,Will Learn
q25LangPerl,0,Missing or Neither
q25LangPerl,1,Know
q25LangPerl,2,Will Learn
q25LangSwift,0,Missing or Neither
q25LangSwift,1,Know
q25LangSwift,2,Will Learn
q25LangPascal,0,Missing or Neither
q25LangPascal,1,Know
q25LangPascal,2,Will Learn
q25LangClojure,0,Missing or Neither
q25LangClojure,1,Know
q25LangClojure,2,Will Learn
q25LangPHP,0,Missing or Neither
q25LangPHP,1,Know
q25LangPHP,2,Will Learn
q25LangHaskell,0,Missing or Neither
q25LangHaskell,1,Know
q25LangHaskell,2,Will Learn
q25LangLua,0,Missing or Neither
q25LangLua,1,Know
q25LangLua,2,Will Learn
q25LangR,0,Missing or Neither
q25LangR,1,Know
q25LangR,2,Will Learn
q25LangRust,0,Missing or Neither
q25LangRust,1,Know
q25LangRust,2,Will Learn
q25LangTypescript,0,Missing or Neither
q25LangTypescript,1,Know
q25LangTypescript,2,Will Learn
q25LangKotlin,0,Missing or Neither
q25LangKotlin,1,Know
q25LangKotlin,2,Will Learn
q25LangJulia,0,Missing or Neither
q25LangJulia,1,Know
q25LangJulia,2,Will Learn
q25LangErlang,0,Missing or Neither
q25LangErlang,1,Know
q25LangErlang,2,Will Learn
q25LangOcaml,0,Missing or Neither
q25LangOcaml,1,Know
q25LangOcaml,2,Will Learn
q26FrameLearnAngularJS,1,Know
q26FrameLearnAngularJS,2,Will Learn
q26FrameLearnReact,1,Know
q26FrameLearnReact,2,Will Learn
q26FrameLearnVueDotjs,1,Know
q26FrameLearnVueDotjs,2,Will Learn
q26FrameLearnEmber,1,Know
q26FrameLearnEmber,2,Will Learn
q26FrameLearnBackboneDotjs,1,Know
q26FrameLearnBackboneDotjs,2,Will Learn
q26FrameLearnSpring,1,Know
q26FrameLearnSpring,2,Will Learn
q26FrameLearnJSF,1,Know
q26FrameLearnJSF,2,Will Learn
q26FrameLearnStruts,1,Know
q26FrameLearnStruts,2,Will Learn
q26FrameLearnDjango,1,Know
q26FrameLearnDjango,2,Will Learn
q26FrameLearnPyramid,1,Know
q26FrameLearnPyramid,2,Will Learn
q26FrameLearnRubyonRails,1,Know
q26FrameLearnRubyonRails,2,Will Learn
q26FrameLearnPadrino,1,Know
q26FrameLearnPadrino,2,Will Learn
q26FrameLearnASP,1,Know
q26FrameLearnASP,2,Will Learn
q26FrameLearnNetCore,1,Know
q26FrameLearnNetCore,2,Will Learn
q26FrameLearnNodeDotjs,1,Know
q26FrameLearnNodeDotjs,2,Will Learn
q26FrameLearnExpressJS,1,Know
q26FrameLearnExpressJS,2,Will Learn
q26FrameLearnMetero,1,Know
q26FrameLearnMetero,2,Will Learn
q26FrameLearnCocoa,1,Know
q26FrameLearnCocoa,2,Will Learn
q26FrameLearnReactNative,1,Know
q26FrameLearnReactNative,2,Will Learn
q26FrameLearnRubyMotion,1,Know
q26FrameLearnRubyMotion,2,Will Learn
q26FrameLearnPadrino2,1,Know
q26FrameLearnPadrino2,2,Will Learn
q26FrameLearnDjango2,1,Know
q26FrameLearnDjango2,2,Will Learn
q26FrameLearnPyramid2,1,Know
q26FrameLearnPyramid2,2,Will Learn
q27EmergingTechSkill,0,Other (please specify)
q27EmergingTechSkill,1,Machine Learning / Deep Learning
q27EmergingTechSkill,2,Blockchain
q27EmergingTechSkill,3,Virtual Reality / Augmented Reality / Mixed Reality
q27EmergingTechSkill,4,Robotics
q27EmergingTechSkill,5,Quantum Computing
q27EmergingTechSkill,6,Computer Vision
q27EmergingTechSkill,7,Internet of Things
q28LoveC,1,Love
q28LoveC,2,Hate
q28LoveCPlusPlus,1,Love
q28LoveCPlusPlus,2,Hate
q28LoveJava,1,Love
q28LoveJava,2,Hate
q28LovePython,1,Love
q28LovePython,2,Hate
q28LoveRuby,1,Love
q28LoveRuby,2,Hate
q28LoveJavascript,1,Love
q28LoveJavascript,2,Hate
q28LoveCSharp,1,Love
q28LoveCSharp,2,Hate
q28LoveGo,1,Love
q28LoveGo,2,Hate
q28LoveScala,1,Love
q28LoveScala,2,Hate
q28LovePerl,1,Love
q28LovePerl,2,Hate
q28LoveSwift,1,Love
q28LoveSwift,2,Hate
q28LovePascal,1,Love
q28LovePascal,2,Hate
q28LoveClojure,1,Love
q28LoveClojure,2,Hate
q28LovePHP,1,Love
q28LovePHP,2,Hate
q28LoveHaskell,1,Love
q28LoveHaskell,2,Hate
q28LoveLua,1,Love
q28LoveLua,2,Hate
q28LoveR,1,Love
q28LoveR,2,Hate
q28LoveRust,1,Love
q28LoveRust,2,Hate
q28LoveKotlin,1,Love
q28LoveKotlin,2,Hate
q28LoveTypescript,1,Love
q28LoveTypescript,2,Hate
q28LoveErlang,1,Love
q28LoveErlang,2,Hate
q28LoveJulia,1,Love
q28LoveJulia,2,Hate
q28LoveOCaml,1,Love
q28LoveOCaml,2,Hate
q29FrameLoveAngularJS,1,Love
q29FrameLoveAngularJS,2,Hate
q29FrameLoveReact,1,Love
q29FrameLoveReact,2,Hate
q29FrameLoveVuedotjs,1,Love
q29FrameLoveVuedotjs,2,Hate
q29FrameLoveEmber,1,Love
q29FrameLoveEmber,2,Hate
q29FrameLoveBackboneDotjs,1,Love
q29FrameLoveBackboneDotjs,2,Hate
q29FrameLoveSpring,1,Love
q29FrameLoveSpring,2,Hate
q29FrameLoveJSF,1,Love
q29FrameLoveJSF,2,Hate
q29FrameLoveStruts,1,Love
q29FrameLoveStruts,2,Hate
q29FrameLoveDjango,1,Love
q29FrameLoveDjango,2,Hate
q29FrameLovePyramid,1,Love
q29FrameLovePyramid,2,Hate
q29FrameLoveRubyonRails,1,Love
q29FrameLoveRubyonRails,2,Hate
q29FrameLovePadrino,1,Love
q29FrameLovePadrino,2,Hate
q29FrameLoveASP,1,Love
q29FrameLoveASP,2,Hate
q29FrameLoveNetCore,1,Love
q29FrameLoveNetCore,2,Hate
q29FrameLoveNodeDotjs,1,Love
q29FrameLoveNodeDotjs,2,Hate
q29FrameLoveExpressJS,1,Love
q29FrameLoveExpressJS,2,Hate
q29FrameLoveMeteor,1,Love
q29FrameLoveMeteor,2,Hate
q29FrameLoveCocoa,1,Love
q29FrameLoveCocoa,2,Hate
q29FrameLoveReactNative,1,Love
q29FrameLoveReactNative,2,Hate
q29FrameLoveRubyMotion,1,Love
q29FrameLoveRubyMotion,2,Hate
q30LearnCodeStackOverflow,1,Stack Overflow
q30LearnCodeYoutube,1,YouTube
q30LearnCodeMOOC,1,"MOOC (i.e. Udemy, Udacity, Coursera, Edx, etc.)"
q30LearnCodeCompCodingSites,1,Competitive Coding Sites
q30LearnCodeOnlineTutorial,1,"Online tutorials (i.e. Pluralsight, Lynda.com, etc.)"
q30LearnCodeBooks,1,Books
q30LearnCodeAcademicPaper,1,Academic papers
q30LearnCodeOther,1,Other (please specify)
q31Level3,1,num%2 == 0
q31Level3,2,num%2 == 1
q31Level3,3,num%3 == 0
q31Level3,4,sqrt(num) == 3
q32RecommendHackerRank,0,Other (please specify)
q32RecommendHackerRank,1,Yes
q32RecommendHackerRank,2,No
q33HackerRankChallforJob,1,Yes
q33HackerRankChallforJob,2,No
q34IdealLengHackerRankTest,0,Other (please specify)
q34IdealLengHackerRankTest,1,30 - 45 minutes
q34IdealLengHackerRankTest,2,46 - 60 minutes
q34IdealLengHackerRankTest,3,1 -2 hours
q34IdealLengHackerRankTest,4,2 to 4 hours
q36Level4,1,Set
q36Level4,2,Queue
q36Level4,3,Hashmap
